Link,Title,Context,PublishTime
https://news.tvbs.com.tw/politics/2659217,民調／給花蓮人一條安全回家的路！　64%國人贊同建蘇花高,"財團法人台灣民意基金會今（22）日發表十月民調報告，其中，關於國人對興建蘇花高的態度，最新民意顯示，二十歲以上台灣人中，有高達六成四贊成，「要達成均衡台灣，需要興建蘇花高」，二成八反對，也代表，興建蘇花高，已具有相當程度的全國性共識。
針對國人對興建蘇花高的態度，民調詢問，總統賴清德雙十國慶演說中首次提到「要均衡台灣區域發展」，有人說「要達成均衡台灣，需要興建蘇澳到花蓮的高速公路（蘇花高），讓花蓮人有一條安全回家的路，請問您贊不贊成？」結果顯示，有28.5%非常贊成，35.4%還算贊成，14.8%不太贊成，12.8%一點也不贊成，7.1%沒意見，1.3%不知道、拒答。換句話說，最新民意顯示，二十歲以上台灣人中，六成四贊成「要達成均衡台灣，需要興建蘇花高」，二成八反對，這項發現傳達一個清楚的訊息，即興建蘇花高是台灣絕大多數人民的期待，也可以說，興建蘇花高已具有相當程度的全國性共識。
進一步分析，民調指出，首先，從年齡層看，每一個年齡層都呈現一面倒贊成興建蘇花高，其中尤其以 40 歲 以下年輕人反應最熱烈。20-24 歲，六成七贊成，二成八反對；25-34 歲， 八成贊成，一成六反對；35-44 歲，六成七贊成，二成九反對；45-54 歲，六成一贊成， 三成一反對；55-64 歲，六成贊成，三成二反對；65 歲及以上，五成五贊成，二成九反對。
從教育程度看，每一個教育階層都呈現一面倒贊成興建蘇花高。大學及以上教育程度者，六成四贊成，三成反對；專科教育程度者，五成八贊成，三成 五反對；高中/高職教育程度者，七成贊成，二成六反對；初/國中教育程度者，六成三贊 成，二成六反對；小學及以下教育程度者，五成九贊成，一成八反對。
從職業背景看，劃分為十類不同職業類別的人，每一類都呈現多數贊成興建 蘇花高。自營商/企業主，五成七贊成，一成八反對；高階白領人員，六成二 贊成，三成五反對；基層白領人員，七成七贊成，一成九反對；軍公教人員，六成四贊 成，二成五反對；勞工，七成一贊成，二成反對；農民，四成九贊成，四成二反對；學 生，六成二贊成，二成八反對；家庭主婦，五成八贊成，二成九反對；退休人員，五成 二贊成，三成四反對；無業/待業者，七成贊成，一成九反對。
而從地理區域看，將全國劃分成七大塊，可清楚看見每一個區域都呈現一面倒贊成興建蘇花高的景象。台北市有五成六贊成，三成八反對；新北市，六成 贊成，三成一反對；桃竹苗，七成四贊成，二成反對；中彰投，六成三贊成，二成八反 對；雲嘉南，六成五贊成，二成八反對；高屏澎，五成九贊成，二成八反對；基宜花東 金馬，七成五贊成，二成反對。
最後，從政黨傾向看，各政黨支持者都呈現多數贊成興建蘇花高。具體地講，民進黨支持者，四成九贊成，四成一反對；國民黨支持者，七成七贊成，二成反對；民眾黨 支持者，六成九贊成，二成九反對；中性選民，六成八贊成，一成七反對。
整體來看，民調顯示，賴清德雙十國慶演說提出「跨區域的均衡台灣」主張，或許是見到 過去中央政府在政策上「重西輕東」的嚴重缺失，而思予以矯正。從歷史上看，國民黨執政重北輕南，民進黨執政南北平衡，東部的花蓮與台東成為永遠落後的邊陲地區。地震與颱風過後，花蓮人連一條安全回家的路都沒有，直到現在，當興建蘇花高已成為絕 大多數國人的期待時，也是賴政府實現「均衡台灣」政策的試金石。
本次調查由台灣民意基金會進行，包含問卷設計、報告撰寫與研究解析，調查由山水民意研究公司受委託執行，主要負責抽樣設計、電話訪談、資料清理及統計分析。訪問於2024年10月13日至15日進行，涵蓋全國二十歲以上的成年人。抽樣方法採用市話與手機並用的雙底冊抽樣，其中市話佔 70%，手機佔 30%。本次調查共訪問了1077 人，其中市話樣本757人，手機樣本320人，抽樣誤差在 95%信心水準下約為正負2.99 個百分點。調查結果根據內政部最新人口統計資料進行加權，考量了地區、性別、年齡及教育程度，以符合母體結構。經費來源為財團法人台灣民意教育基金會。
※請勿在此灰線下區域輸入任何文字，會被程式濾掉！
下載TVBS新聞APP，最新消息不漏接",2024/10/22 12:29
https://news.tvbs.com.tw/local/1487525,太魯閣號出軌釀50死　王浩宇譙環團「擋蘇花高」遭罵翻,"台鐵408車次
太魯閣號
今（2）日上午9時28分發生重大事故，列車行駛過程中，突遭一輛從邊坡滑落的工程車撞上導致出軌，一共造成50人罹難、146人受傷。事故發生後，前桃園市議員王浩宇在
臉書
發文譴責環保團體，他認為是環團和綠黨阻擋建造蘇花高，讓東部民眾回家的路充滿危險，不過此言論一出，卻遭網友們罵翻。
王浩宇今（2）日中午在臉書發文，根據扁政府當時的規劃，2011年台灣人就能以100公里的高速從台北直達花蓮，而且全程只需要2小時，卻因為綠黨和環保團體的抗議，政府得延後時程，並規劃成現在的蘇花改，直到2年前才通車。
王浩宇接著表示，現在他從桃園搬到台東，這才發現回北部的路好遠好遠，而且開起來也挺危險的；另外火車和飛機票也常常買不到，這讓他體會東部居民在交通上的困難，更直指這些環團的堅持「根本是自私的」。
王浩宇質疑，「環保很重要，那東部居民的安全呢？」今日發生台鐵太魯閣號脫軌意外後，身邊的朋友都在群組急問，「有沒有認識的人在車上？會不會是從台北回來的孩子？」王浩宇更說，北部人希望在東部留下美麗的淨土，把東部當成自己的後花園，但若是問他們是否要在後花園住下，紛紛卻說「才不要」。
王浩宇直呼，「那些口口聲聲說關心環境的環保人士，大多數根本不住在花東，而是在台北」，最後呼籲政府請重視東部交通，給東部居民平安回家的路。不過王浩宇的這番言論，引發網友在
PTT
上熱烈討論，但幾乎一面倒地批評，「出軌跟蘇花高關係在哪裡」、「真的是無言」、「別在那裏消費死者」、「閉上你的嘴」。",2021/04/02 18:09
https://news.tvbs.com.tw/local/1478442,快訊／遊覽車撞山釀5死　侯第一時間致電林姿妙,"蘇花高發生重大車禍，當中是由新北市市民組的團，市府團隊立刻出動前往協助處理，而新北市長侯友宜第一時間就致電宜蘭縣長林姿妙，密切關心最新狀況，她也出發宜蘭到醫院關心傷患。
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2021/03/16 18:17
https://news.tvbs.com.tw/life/1227644,選前釋利多！蘇花改進度超前　蔡：明年1月5日通車,"蘇花改歷經8年的施工，總統蔡英文宣布提前到明年1月5日通車，但卻被質疑是為了大選才提早，而且就在這同時，交通部還提出了蘇花安計畫要花360億，把東澳到南澳、和平、和中等路段連接起來，預計2030年完工，但是被環團質疑是蘇花高的翻版，不過交通部強調完全不一樣，對環境衝擊也比較小。
總統蔡英文：「我們一步一步往前走，而且讓我們東部人的期待，不會有落空。」
強調不會讓東部民眾失望，歷經8年多的施工，蘇花改將在明年1月通車，目前工程進度92%，通車時間預計會提前。
總統蔡英文：「那我相信2020年1月5日，這個通車的時程，是大家很有信心的，通車的時間。」
早在去年蘇澳到東澳完工後，南澳到和平、和中到大清水等路段，就訂在明年春節前通車，後來又改到1月10日，現在總統說工程進度超前，改到1月5日通車，就被外界質疑難道是為了選舉，另外交通部又提出一個新的方案。
交通部針對後續路段改善提出蘇花安計畫，要把東澳到南澳，和平到和中，跟和仁到崇德等路段全部連起來，預計耗費360億台幣，2030年全線通車，但卻被環團批評是蘇花高復辟。
花蓮民眾：「對我們花蓮有客源進來啊，比較多人進來花蓮，那就比較有人消費。」
花蓮民眾：「你分段做然後也是繞來繞去的，然後路也變比較小，對遊客來說的話，連續假期一定是塞爆的。」
民眾的正反意見都有，交通部政次說蘇花改工程團隊有經驗，工程才會提前完成，而蘇花安計畫則是沿用靠海的鐵路隧道，對環境衝擊小，跟蘇花高不一樣，目前將評估報告送行政院審查，東部的公路議題還有得吵。
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2019/11/02 14:42
https://news.tvbs.com.tw/local/1016093,普悠瑪翻車花東人憂　推「蘇花高」效仿日海岸高架橋,"普悠瑪21日發生出軌翻車，釀成嚴重死傷，各界針對改善方法議論紛紛，不少民眾也討論起曾經的「蘇花高」，有網友就貼出日本在海岸線蓋起高架橋的照片，表示若在海岸線外蓋起海上高架橋，也許能解決蘇花高因環評被擱置的困境。
這名網友在論壇「Mobile01」貼出一張日本海岸高架橋風景的照片，表示如果跟日本一樣在海岸線外蓋高架橋，就可以不用行駛在危險的蘇花公路上，也能實現環台高速公路的夢想，或許以環評角度來看不適合，但人命關天，這樣的高架橋比較安全，且以台灣目前技術也能辦得到。而該高架橋為日本著名的天險「親不知」，位在日本新潟縣系魚川市，一旁懸崖高度300至400公尺，地形與台灣的花東類似，日本政府為了解決行路險象環生的問題，才會決定在海岸線外蓋起高架橋。
不少網友看完這樣的建議後，紛紛提出見解，有人表示贊同，認為蘇花公路實在太危險，就曾有陸客遊覽車在花蓮發生翻覆意外，也有人認為，只要基樁打下去，沿岸的珊瑚就會全毀，環評不可能過關；但也有人認為高架橋還是會延伸出其他交通隱憂，還是坐火車比較安全，更有人認為，蘇花改工程已經在進行，應該先從現有的蘇花改或台鐵路線去改善才對。
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2018/10/24 18:19
https://news.tvbs.com.tw/life/896195,疏導失效？清明連假塞爆　交部挨批「慢半拍」,"連假第二天，國道南下一早6點又湧現車潮，國5南港到石碇局部路段，再度出現「紫爆」。有學者批評，儘管有高乘載管制，以及深夜也實施暫停收費，但跟春節相比，清明連假簡直「塞爆」，交通部這次反應慢半拍，而部長賀陳旦，4日視察蘇花改時，還傳出他說如果私人行程，會走替代道路看山海風景，這番話又引發爭議。
不只連假第一天塞爆，第二天也是塞塞塞，從上午6點，國道5號南港至坪林湧進車潮，車輛走走停停。高公局預估，整天會有128萬車次上國道。往宜蘭方向，不過5日從蘇澳交流道到蘇花改，上午是順暢。
但其他路段，國道三號中投至霧峰，還有新台五路到堤頂，一度出現紫爆，比平時行車時間多5倍，時速只有10公里，國道1號湖口到新竹，路況紅通通，時速只有10到30公里。有學者批評，儘管事前有宣導匝道高乘載管制、整合匝道、以及深夜也實施暫停收費，但跟春節相比，清明連假「塞爆」，交通部這次反應慢半拍。
逢甲大學運輸與物流系副教授李克聰：「交通部沒有預測到，這麼嚴重塞車下，所以在事前的減量，跟相關的分流宣導上面，就是我們提出預警措施上面，沒有做得徹底跟完整。」
交通部長賀陳旦(4月4日)：「比我想像中久，因為我本來應該是1個半鐘頭，但現在大概花了2小時20分鐘。」
視察蘇花改，交通部長也很有感，塞車比預期嚴重，傳出交通部長卻說，如果是私人行程，他會跟家人事先規劃，改走替代路線，體驗蘇花山海的美景，這番話又引起爭議。
高公局科長蔡明哲：「昨天因為車流量比較集中，而且昨天的車禍事故，是比平常跟去年同期增加快2倍。」
不只車禍事故釀成塞車加劇，高公局強調，7個地雷路段，包括上午湖口到新竹，彰化到鹽埔，鶯歌到關西等等，傍晚開始西螺至鹽埔、頭城至坪林盡量避開。因為預計6日開始，收假時還會再塞，尤其7日會達到塞車尖峰。
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2018/04/05 13:54
https://news.tvbs.com.tw/local/870888,暖！花蓮民返鄉不塞車　麗娜輪祭免費搭乘,"過年返鄉花蓮民眾除了搭火車就是走蘇花高，但火車搶票相當不容易，蘇花高有可能遭遇地震落石，有郵輪業者祭出搭船優惠，只要花蓮居民拿著身分證就能免費搭乘麗娜輪。
準備搭船的民眾，不管是大人、小孩，拿出證件查驗，因為只要是花蓮人，就可以免費搭船。返鄉民眾在船上，悠哉的看著海上風景聊著天，可以免費悠哉的搭船回家，花蓮民眾覺得好貼心。返鄉民眾普遍認為這是一個貼心的舉動，另外不用走蘇花也很安心。
為了幫助花蓮地震民眾，麗娜輪從16日到20日祭出搭船優惠，只要身分證是U開頭，就可以免費搭船，由於以往北部要回花蓮的民眾，只能走蘇花公路容易塞車，加上怕有落石，讓民眾返鄉路程多了不少風險，今年考量花蓮地震災民，郵輪業者提供免費優惠，讓花蓮民眾不用在路上車擠車就可以輕鬆回家，除了海上，路地上的蘇花改也加入輸運。
蘇花改入口前道路，湧現返鄉車流，員警做起交通疏導，上午整體交通狀況還算穩定，不過卻還是出現有意外插曲。
一輛重機疑似刻意硬闖，不管交管人員吹哨制止，直直往蘇花改隧道騎進去。
由於往年一遇到連假，車子就會在蘇澳塞車，蘇花改通車後，車輛被引導到蘇港路分散車流，讓民眾不用在忍受塞車之苦，今年海陸並行，要讓飽受地震之苦的花蓮民眾能更安全、更快速的返鄉過年。
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2018/02/16 14:23
https://news.tvbs.com.tw/life/853924,安全回家路環保糾結10年　蘇花高變蘇花改,"蘇花改第一階段蘇澳到東澳終於在農曆年前要通車。這一條讓東部人安全回家的路，因環保團體憂心花東淨土遭破壞，糾結長達10年，從原先的國道蘇花高變成省道蘇花改。
現在蘇花公路清朝就已闢建，原本只是沿山壁開挖的步道，之後逐漸拓寬，由單線車道變為現在的雙線，裸露在外的岩石隨著自然風化，一有大雨或地震，就落石坍方，是條美麗卻危險的道路。
政府20多年前就想改善，確實也曾完成蘇花高規劃並通過環評，最後仍因環保因素糾結，讓蘇花高出局。
曾任國道新建工程局長的台船董事長鄭文隆說，蘇花高原本是國道環島路網的一環，當年政府希望透過國道環島路網實現台灣一日生活圈。
鄭文隆直言，透過現代工法，國道是對環境生態影響最小的道路建設，與環團的戰爭，他打輸了很可惜。
鄭文隆回憶，蘇花高原本2003年底要動工，有兩個標案都在他任內發包，機具及人員也進駐工地，但因環保反對聲浪大，當時的行政院長游錫堃宣布緩建，國工局還賠償業者動員費用。
國工局副局長陳議標當年是規劃組組長，參與過蘇花高設計，他感慨，環保抗爭讓原本准予開發的蘇花高遲遲無法動工，後來還必須做環境差異分析，結果仍敵不過時代氛圍，加上政黨輪替，環差未能過關。
陳議標說了一個笑話，他說，當時在環保因素質疑下，「蘇花高」三個字好像變成髒話，最好不要說出口，否則就會遭圍攻。
根據交通部的資料，政府在1990年就將改善東部交通列入環島高速公路計畫，1998年行政院核定東部國道可行性研究，並指示先辦理蘇澳到花蓮路段，2000年蘇花高環評過關，2002年蘇花高還被列入挑戰2008國家發展計畫，2003年納入新十大建設計畫。
不過，2001年開始出現環保人士反對建蘇花高，認為蘇花高11座共長達40公里的隧道，會破壞環境保育，並形容是生態浩劫，尤其2006年國道5號雪山隧道通車後，大量遊客湧入宜蘭，讓更多環保人士擔心花東淨土也會遭殃。
蘇花高緩建後，因超過環境影響評估法規定通過環評3年內開發期限，後來前行政院長蘇貞昌決定再推動時，只好依法做環境差異分析。
不過，蘇花高環保議題持續發酵，連文化界人士都加入戰場。2008年4月，環評大會以上位政策不明、背景條件變動及專業技術問題未釐清的情況下，將蘇花高環差分析退回交通部，當時正值選舉結束後政黨輪替，是否建蘇花高的政策交由新的政府決定。
前交通部長毛治國2008年5月上台後，第一件事就是邀相關單位檢討蘇花高，並向前行政院長劉兆玄報告，評估外界對蘇花高反彈太大，但考量蘇花公路落石不斷的危險，用路人安全受威脅，及常常一有大雨就封路造成的不便，一定要另建一條蘇花新路。
時任行政院長的劉兆玄2008年7月宣布建蘇花公路替代道路，卻讓環保人士不滿，直指是蘇花高復活。
2010年初，政府定調推動蘇花改，長度38.8公里，比蘇花高86公里少了一半以上，路線與蘇花高大部分相同，主要是改善蘇花公路山區危險路段，但不再是國道而是省道，因全線隧道有8處，環保團體的質疑仍未停過。
毛治國當時形容非另闢一條蘇花道路的理由很生動，他說蘇花公路像饅頭，已無多餘空間可退縮，只有另謀出路。
2010年10月21日發生陸客團遊覽車在蘇花公路遭巨大落石砸中掉落海中，是蘇花公路通車以來最嚴重坍方事件，震驚社會，更讓政府堅定推動蘇花建新路的方向正確。
環保署環評大會當年11月9日快速通過蘇花改環評案，雖遭環保團體批評蘇花改環評才兩次初審就過關，太草率，但當時交通部的說法是已溝通一整年，堅持蘇花改在2011年1月動工。
原本毛治國希望由具雪隧經驗的國工局，執行蘇花改工程，但後來顧慮外界聯想蘇花改就是蘇花高，加上蘇花改是省道，最後交由公路總局負責。
前國工局長邱琳濱認為，如果能從環島國道路網思考，就不會陷入用西部的生活思考方式，決定東部人的命運，讓一條蘇花改糾結了10年。（中央社）
最HOT話題在這！想跟上時事，快點我加入TVBS新聞LINE好友！",2018/01/17 13:54
https://news.tvbs.com.tw/local/702216,蘇花高4車車禍！　小轎車撞翻20噸大貨車,"蘇花公路發生重大車禍！就在22日上午8點，蘇花公路174公里處的錦文隧道口，一輛銀色BMW轎車，不知道為何突然偏離自己車道逆向，導致對向一輛大貨車被撞到失去平衡，一連衝撞了4台車才停了下來，雖然遭波及後方車輛上的一家三口送醫急救後沒有大礙，但也因為BMW駕駛這一秒鐘的偏移，導致隧道封閉了一小時，雙向車流，也回堵了將近2公里遠。
白色轎車，開在隧道裡，突然，前方的黑色轎車停了下來，下一秒，就看到這輛大貨車，近在眼前，但已經來不及閃，直接撞上，男駕駛大罵了一聲粗話，女乘客，放聲尖叫。再往前一部車看看，同樣也聽到男駕駛罵了粗話。放慢動作仔細看，終於找到罪魁禍首，就是前方這一台銀色雙B名車，一個偏離車道逆向，釀成意外。
這起車禍就發生在22日早上8點，蘇花公路174公里處的錦文隧道口，原本雙向車流量相當順暢，但這台銀色BMW轎車，在準備出隧道口時，突然偏移車道，往對向衝了過去，撞上對向直駛而來的大貨車。大貨車被雙B名車這麼一撞，整個車體失去平衡，往右側翻覆，一連撞上對向第二和第三輛車，接著又壓斷路燈。
新城分局崇德派出所副所長陳瑞欽：「(這場車禍)導致(後方)自小客車一家三口受傷送醫。」
不過，因為BMW駕駛一秒鐘內的偏移，導致這起4車損、3人傷的車禍，也造成隧道封閉1小時，車流也回堵了將近 2公里遠。",2017/01/22 23:59
https://news.tvbs.com.tw/local/565829,〈快訊〉蘇花127k落石坍方　凌晨緊急搶通,最新消息！蘇花公路127公里處靠近南澳路段，晚間發生落石坍方，一度場雙線雙向中斷，無法通車，公路單位緊急出動人員機具，已經在今天(4日)凌晨搶通。,2015/02/03 23:18
