x,y
0.26581068,1.982057322
0.08567981,2.469287996
0.015017433,2.409589611
0.190974219,2.217929419
0.069499322,2.392638462
0.36053359,1.738125582
0.612311096,2.326649865
0.175492573,2.115995222
0.30863556,1.781885289
0.69840034,2.564446145
0.607127142,2.366938772
0.890778903,2.853827994
0.558765969,2.02912127
0.303441656,1.756391452
0.483777199,1.844379001
0.228180633,1.994282739
0.814132218,2.897528378
0.372575031,1.723955487
0.513566127,1.886760596
0.825619742,2.774911408
0.038801334,2.510430144
0.637023439,2.288164498
0.544766722,1.957791595
0.699645663,2.253269425
0.99609395,2.991363676
0.082425495,2.377008549
0.317590888,1.869378226
0.433445333,1.898597011
0.083037366,2.248572205
0.475132743,1.771394911
0.139261441,2.142985855
0.715689082,2.595464362
0.526234561,2.064409092
0.275394385,1.769215437
0.617928368,2.333255995
0.542898679,2.050926917
0.935868974,3.027286273
0.279915194,1.793520842
0.127613594,2.23418817
0.929936853,2.920747916
0.092338232,2.402558785
0.848282288,2.876903257
0.370502229,1.855998335
0.370609311,1.797476753
0.31605412,1.805857977
0.64923095,2.342340345
0.814708459,2.849096249
0.99567634,3.008453511
0.46511645,1.972011185
0.911886898,2.925966608
0.299429614,1.842908513
0.19456802,2.08565025
0.824248567,2.906389567
0.617839827,2.328986693
0.865711508,2.863310956
0.740082281,2.738668659
0.18476175,2.126783029
0.998276421,3.129371286
0.401740494,1.927673961
0.296854194,1.85320086
0.402014246,1.830553326
0.953035483,2.987173094
0.194237006,2.165026198
0.177381888,2.275095182
0.256672546,1.987656659
0.673034602,2.426063879
0.678905649,2.46926023
0.220394796,2.059622898
0.043299229,2.579962938
0.999792645,3.065624618
0.112122984,2.481523979
0.195401999,2.107688313
0.112317235,2.405945504
0.494474136,1.813793271
0.916228122,3.068369226
0.360492734,1.934070263
0.539807291,2.05904923
0.696467053,2.514707262
0.621862351,2.229426617
0.196804355,2.108177506
0.759410519,2.697473853
0.246821434,2.037253883
0.630041134,2.258557384
0.967583236,2.991380853
0.581858489,2.129736513
0.30919083,1.707759589
0.177766695,2.225556308
0.184260718,2.129955747
0.377865557,1.776280897
0.85758769,2.917177616
0.501406467,1.888813878
0.973834523,3.08592164
0.656263723,2.368829112
0.61498906,2.322330364
0.899752917,2.836853588
0.758727277,2.679782813
0.096905106,2.428676525
0.950536743,3.034073407
0.63690681,2.132333455
0.868054292,2.927284226
0.667794619,2.529362885
0.309409307,1.769971604
0.140059475,2.283446997
0.608602446,2.314975782
0.035925687,2.477941611
0.21238423,2.072988105
0.576980288,1.943913857
0.420757022,1.750538095
0.372749514,1.718932569
0.495655393,1.979778654
0.918726424,2.909377529
0.273780125,1.959587328
0.739599104,2.616126173
0.357111084,1.719814738
0.328592815,1.74202098
0.495869644,1.924953898
0.567722194,2.131677166
0.523711506,1.980113318
0.226377083,2.045886946
0.293249073,1.821411818
0.926354915,2.810563337
0.869654674,2.870146902
0.277255935,1.951334674
0.197709256,2.224350984
0.515648327,1.967166508
0.125368867,2.349587069
0.861556852,2.842569863
0.490863137,1.94802843
0.286914658,1.956831693
0.226772699,1.946232737
0.620709758,2.229885998
0.931610998,2.932279873
0.968695807,2.884152847
0.73722323,2.626673199
0.627145046,2.314361891
0.852278772,2.716209126
0.549568151,1.990541032
0.252505974,1.922652535
0.517156068,1.934482153
0.501680213,1.952738126
0.431395849,1.833802538
0.184684213,2.227083367
0.794944428,2.754111962
0.052888339,2.446939432
0.764450183,2.734868769
0.110138445,2.347978205
0.03208568,2.291641704
0.535531129,1.825445582
0.000751089,2.414875526
0.910194142,2.979181822
0.985975247,3.082213817
0.579920426,2.109591584
0.056593282,2.417300285
0.616621049,2.252118695
0.989330087,2.919229358
0.494574636,1.842288294
0.251767904,1.95754125
0.88631876,3.015223641
0.524890307,2.07858845
0.262333454,1.93886673
0.984339553,2.99002825
0.988891431,2.987038337
0.114282041,2.320015805
0.379682057,1.812377647
0.558944351,2.06202078
0.006090328,2.385422969
0.887754237,2.939746174
0.903803947,2.97937583
0.30758239,1.762402176
0.878729515,3.013559447
0.832664223,2.865859667
0.009104593,2.343007867
0.456803692,2.01592121
0.884733297,2.885405855
0.157898719,2.181901253
0.2912367,1.883649532
0.649240034,2.3242613
0.927690171,3.05658621
0.633923569,2.358869294
0.593001503,2.207980785
0.297515691,1.939508516
0.115691469,2.267293256
0.237665822,1.991163068
0.854468788,2.774743066
0.947247425,3.044950403
0.366956886,1.860371615
0.319974742,1.74783987
0.260112717,1.963804006
0.1049295,2.45114245
0.36731815,1.809648623
0.212083901,2.029481903
0.20914833,2.032844121
0.549730699,2.140648923
0.462572081,1.898138571
0.660426594,2.329406785
0.470322444,1.870600231
0.87167629,2.977463808
0.364304774,1.733385775
0.054621768,2.329457865
0.364138973,1.691772602
