Link,Title
https://www.ettoday.net/news/20250529/2969155.htm,端節連假車潮來襲！花蓮新城警路口疏導　行車攻略一次看
https://www.ettoday.net/news/20250520/2963573.htm,端午連假蘇花公路尖峰車潮曝光！　行車攻略一次看
https://www.ettoday.net/news/20250518/2962837.htm,快訊／豪雨致花蓮多地災情！秀林鄉和平村明停班停課
https://www.ettoday.net/news/20250513/2959428.htm,蘇花中仁隧道南下施工！5／13~5／29全時段封閉　改行台9丁
https://www.ettoday.net/news/20250512/2959139.htm,端午連假國5高乘載管制　桃機估單日湧14萬人次出入境
https://www.ettoday.net/news/20250507/2956101.htm,白沙屯媽祖聯名加持　台鐵推「拾子．平安產禮盒」5／9開搶
https://www.ettoday.net/news/20250425/2949734.htm,民團逾50人冒雨包圍公路局　提5訴求：蘇花改開放機車行駛
https://www.ettoday.net/news/20250418/2945609.htm,蘇花改中仁隧道試辦「開放普通機車」　試辦期間限速50
https://www.ettoday.net/news/20250402/2936375.htm,花蓮議長張峻喊罷免傅崐萁　國民黨部開戰：藍皮綠骨的黑道流氓
https://www.ettoday.net/news/20250401/2935725.htm,7處公墓人車潮爆增！新城警清明連假設崗疏導籲：避開尖峰時段
https://www.ettoday.net/news/20250331/2934750.htm,清明連假「蘇花公路恐塞14小時」　國道客運祭6折優惠
https://www.ettoday.net/news/20250327/2932621.htm,清明連假湧車潮！尖峰時段曝光　蘇花路廊行車攻略一次看
https://www.ettoday.net/news/20250310/2922848.htm,交通部澄清花東快可行性評估「沒退回」　補件評估分段推動
https://www.ettoday.net/news/20250228/2916985.htm,228連假湧人車潮！花蓮市12重點路口及車站　加派警力疏導交通
https://www.ettoday.net/news/20250227/2916641.htm,首波車潮預計清晨5時湧現　蘇花路廊228連假首日路況曝
https://www.ettoday.net/news/20250225/2914967.htm,蘇花改中仁隧道系統養護　3／3至31日南北向單車道管制通行
https://www.ettoday.net/news/20250222/2913273.htm,228連假「陸海空疏運懶人包」　國道好走時段出爐
